Date,Lineage,Site Location,Bag Number,Oyster Number,Pit Tag Start Num,Pit Tag End Num,Length,Width,Status,Notes,Picture taken by,Analyzed by,Date reported dead,Notes extended,
25-Oct-21,GH,RWU ,3,50,9820910659,NA,53.56,38.87,Alive,QA/QC results no place for this tag orginally marked 29227,,,,,
25-Oct-21,NR,RWU ,1,NA,9820910659,NA,NA,NA,Missing,First repoted missing on 26-Aug-2021,,,,,
25-Oct-21,GH,RWU ,3,55,9820910659,NA,54.29,32.43,Dead,"QA/QC results initial tag was labeled ""dead in previous sampling"" now NA , no place for this info to go ",,,,,
19-Jul-21,NR,RWU,1,1,9820910659,31907,31,22,Alive,All bag 1 measurments done on 7-19-21,,,,,
26-Aug-21,NR,RWU,1,52,9820910659,31907,41.91,23.56,Alive,,,,,,
25-Oct-21,NR,RWU ,1,27,9820910659,31907,53.31,31.59,Alive,,,,,,
19-Jul-21,NR,RWU,1,39,9820910659,31906,27.32,23,Alive,,,,,,
26-Aug-21,NR,RWU,1,39,9820910659,31906,37.22,31.4,Alive,,,,,,
25-Oct-21,NR,RWU ,1,25,9820910659,31906,52.08,37.82,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,31906,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,NR,RWU,1,20,9820910659,31905,29,26,Alive,,,,,,
26-Aug-21,NR,RWU,1,46,9820910659,31905,48.82,39.62,Alive,,,,,,
25-Oct-21,NR,RWU ,1,47,9820910659,31905,55.27,41.3,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,31905,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,FI,RWU,1,37,9820910659,31904,20.89,17.29,Alive,,,,,,
26-Aug-21,FI,RWU,1,8,9820910659,31904,26.83,26.1,Alive,tag is coming off,,,,,
25-Oct-21,FI,RWU ,1,43,9820910659,31904,35.99,26.7,Alive,,,,,,
24-May-22,FI,RWU,1,11,9820910659,31904,28.49,27.22,Alive,,,,,,
19-Oct-22,FI,RWU,1,54,9820910659,31904,missing,missing,missing,,,,,,
19-Jul-21,NR,RWU,1,7,9820910659,29903,31,19,Alive,,,,,,
26-Aug-21,NR,RWU,1,19,9820910659,29903,41.25,31.44,Alive,,,,,,
25-Oct-21,NR,RWU ,1,29,9820910659,29903,53.72,42.36,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29903,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,NR,RWU,1,18,9820910659,29902,24,19,Alive,,,,,,
26-Aug-21,NR,RWU,1,40,9820910659,29902,30.43,23.31,Alive,,,,,,
25-Oct-21,NR,RWU ,1,17,9820910659,29902,43.86,34.85,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29902,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,NR,RWU,1,2,9820910659,29901,22,19,Alive,All bag 2 and 3 measurements done on 7-28-21,,,,,
26-Aug-21,NR,RWU,1,22,9820910659,29901,37.49,29.8,Alive,,,,,,
25-Oct-21,NR,RWU ,1,20,9820910659,29901,57.88,38.56,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29901,NA,NA,Missing,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,NR,RWU,1,32,9820910659,29900,21.6,15,Alive,,,,,,
26-Aug-21,NR,RWU,1,13,9820910659,29900,29.27,23.79,Alive,,,,,,
25-Oct-21,NR,RWU ,1,14,9820910659,29900,41.25,27.06,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29900,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,NR,RWU,1,4,9820910659,29899,27,19,Alive,,,,,,
26-Aug-21,NR,RWU,1,37,9820910659,29899,35.61,25.43,Alive,,,,,,
25-Oct-21,NR,RWU ,1,36,9820910659,29899,44.41,35.36,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29899,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,NR,RWU,1,8,9820910659,29898,35,27,Alive,,,,,,
26-Aug-21,NR,RWU,1,6,9820910659,29898,44.71,34.12,Alive,,,,,,
25-Oct-21,NR,RWU ,1,10,9820910659,29898,60.62,41.77,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29898,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,NR,RWU,1,28,9820910659,29897,29,22,Alive,,,,,,
26-Aug-21,NR,RWU,1,35,9820910659,29897,48.66,34.92,Alive,,,,,,
25-Oct-21,NR,RWU ,1,52,9820910659,29897,61.05,39.33,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29897,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,NR,RWU,1,3,9820910659,29896,22,17,Alive,,,,,,
26-Aug-21,NR,RWU,1,15,9820910659,29896,37.36,29.63,Alive,,,,,,
25-Oct-21,NR,RWU ,1,21,9820910659,29896,48.26,37.91,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29896,NA,NA,Missing,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,NR,RWU,1,51,9820910659,29895,26.62,23.32,Alive,,,,,,
26-Aug-21,NR,RWU,1,53,9820910659,29895,42.61,28.13,Alive,,,,,,
25-Oct-21,NR,RWU ,1,22,9820910659,29895,53.95,36.83,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29895,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,NR,RWU,1,31,9820910659,29894,21,15,Alive,,,,,,
26-Aug-21,NR,RWU,1,16,9820910659,29894,31.9,22.09,Alive,,,,,,
25-Oct-21,NR,RWU ,1,7,9820910659,29894,50.38,30.93,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29894,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,NR,RWU,1,26,9820910659,29893,15,17,Alive,,,,,,
26-Aug-21,NR,RWU,1,51,9820910659,29893,14.49,15.61,Alive,,,,,,
25-Oct-21,NR,RWU ,1,55,9820910659,29893,NA,NA,Missing,First repoted missing on 25-Oct-2021,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29893,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,FI,RWU,1,17,9820910659,29892,37.79,32.98,Alive,,,,,,
26-Aug-21,FI,RWU,1,33,9820910659,29892,59.81,48.52,Alive,,,,,,
25-Oct-21,FI,RWU ,1,9,9820910659,29892,73.88,63.57,Alive,,,,,,
24-May-22,FI,RWU,1,47,9820910659,29892,76.52,58.25,Alive,,,,,,
19-Oct-22,FI,RWU,1,2,9820910659,29892,100.01,78.04,alive,"DERIVED FROM FI-1_alive photo, no morts photo provided(Mary S recorded 33 alive, 14 dead, 8 missing) THIN SHELLS",,,,,
19-Jul-21,FI,RWU,1,24,9820910659,29891,31.56,24.68,Alive,,,,,,
26-Aug-21,FI,RWU,1,13,9820910659,29891,38.3,34.76,Alive,,,,,,
25-Oct-21,FI,RWU ,1,7,9820910659,29891,52.95,44.73,Alive,,,,,,
24-May-22,FI,RWU,1,33,9820910659,29891,47.37,35.15,Alive,,,,,,
19-Oct-22,FI,RWU,1,15,9820910659,29891,66.04,46.18,alive,"DERIVED FROM FI-1_alive photo, no morts photo provided(Mary S recorded 33 alive, 14 dead, 8 missing) THIN SHELLS",,,,,
19-Jul-21,NR,RWU,1,33,9820910659,29890,21.67,17.26,Alive,,,,,,
26-Aug-21,NR,RWU,1,2,9820910659,29890,32.64,30.83,Alive,,,,,,
25-Oct-21,NR,RWU ,1,38,9820910659,29890,45.14,30.31,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29890,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,NR,RWU,1,42,9820910659,29889,25.39,22.69,Alive,,,,,,
26-Aug-21,NR,RWU,1,23,9820910659,29889,33.77,29.43,Alive,,,,,,
25-Oct-21,NR,RWU ,1,50,9820910659,29889,44.35,31.38,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29889,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,NR,RWU,1,44,9820910659,29888,27.08,19.36,Alive,,,,,,
26-Aug-21,NR,RWU,1,49,9820910659,29888,35.88,25.28,Alive,,,,,,
25-Oct-21,NR,RWU ,1,5,9820910659,29888,46.27,33.44,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29888,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,NR,RWU,1,9,9820910659,29887,26,21,Alive,,,,,,
26-Aug-21,NR,RWU,1,33,9820910659,29887,31.37,25.49,Alive,...,,,,,
25-Oct-21,NR,RWU ,1,32,9820910659,29887,46.8,35.39,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29887,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,FI,RWU,1,4,9820910659,29886,46.69,28.99,Alive,,,,,,
26-Aug-21,FI,RWU,1,39,9820910659,29886,51.8,43.27,Alive,,,,,,
25-Oct-21,FI,RWU ,1,31,9820910659,29886,71.47,58.21,Alive,,,,,,
24-May-22,FI,RWU,1,24,9820910659,29886,61.32,52.15,Alive,,,,,,
19-Oct-22,FI,RWU,1,18,9820910659,29886,76.92,58.76,alive,"DERIVED FROM FI-1_alive photo, no morts photo provided(Mary S recorded 33 alive, 14 dead, 8 missing) THIN SHELLS",,,,,
19-Jul-21,FI,RWU,1,15,9820910659,29885,43.56,38.77,Alive,,,,,,
26-Aug-21,FI,RWU,1,21,9820910659,29885,67.28,41.26,Alive,,,,,,
25-Oct-21,FI,RWU ,1,40,9820910659,29885,87.65,61.86,Alive,,,,,,
24-May-22,FI,RWU,1,52,9820910659,29885,75.22,49.93,Alive,,,,,,
19-Oct-22,FI,RWU,1,5,9820910659,29885,98.64,65.4,alive,"DERIVED FROM FI-1_alive photo, no morts photo provided(Mary S recorded 33 alive, 14 dead, 8 missing) THIN SHELLS",,,,,
19-Jul-21,NR,RWU,1,29,9820910659,29884,20,15,Alive,,,,,,
26-Aug-21,NR,RWU,1,41,9820910659,29884,32.94,17.49,Alive,,,,,,
25-Oct-21,NR,RWU ,1,11,9820910659,29884,49.74,35.49,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29884,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,FI,RWU,1,36,9820910659,29883,29.79,25.74,Alive,,,,,,
26-Aug-21,FI,RWU,1,52,9820910659,29883,49.87,40.34,Alive,,,,,,
25-Oct-21,FI,RWU ,1,29,9820910659,29883,64.26,49.32,Alive,,,,,,
24-May-22,FI,RWU,1,18,9820910659,29883,54.52,43.3,Alive,,,,,,
19-Oct-22,FI,RWU,1,27,9820910659,29883,83.39,54.9,alive,"DERIVED FROM FI-1_alive photo, no morts photo provided(Mary S recorded 33 alive, 14 dead, 8 missing) THIN SHELLS",,,,,
19-Jul-21,NR,RWU,1,49,9820910659,29882,19.47,27.53,Alive,,,,,,
26-Aug-21,NR,RWU,1,1,9820910659,29882,37.75,28.32,Alive,all NR1 had curved hinge,,,,,
25-Oct-21,NR,RWU ,1,2,9820910659,29882,46.71,37.27,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29882,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,FI,RWU,1,25,9820910659,29881,25.84,23.75,Alive,,,,,,
26-Aug-21,FI,RWU,1,1,9820910659,29881,23.65,26.15,Alive,,,,,,
25-Oct-21,FI,RWU ,1,27,9820910659,29881,25.1,23.76,Alive,,,,,,
24-May-22,FI,RWU,1,54,9820910659,29881,missing,missing,Missing ,QA/QC result org not marked now 29881,,,,,
19-Oct-22,FI,RWU,1,53,9820910659,29881,missing,missing,missing,,,,,,
19-Jul-21,FI,RWU,1,12,9820910659,29880,24.79,22.03,Alive,,,,,,
26-Aug-21,FI,RWU,1,30,9820910659,29880,37,29.65,Alive,,,,,,
25-Oct-21,FI,RWU ,1,5,9820910659,29880,55.66,50.33,Alive,,,,,,
24-May-22,FI,RWU,1,4,9820910659,29880,47.6,44.53,Alive,,,,,,
19-Oct-22,FI,RWU,1,43,9820910659,29880,dead,dead,dead,,,,10/19/2022,,
19-Jul-21,FI,RWU,1,23,9820910659,29879,30.77,25.98,Alive,,,,,,
26-Aug-21,FI,RWU,1,25,9820910659,29879,45.94,38.71,Alive,,,,,,
25-Oct-21,FI,RWU ,1,33,9820910659,29879,65,48.53,Alive,,,,,,
24-May-22,FI,RWU,1,48,9820910659,29879,61.93,45.22,Alive,,,,,,
19-Oct-22,FI,RWU,1,37,9820910659,29879,dead,dead,dead,,,,10/19/2022,,
19-Jul-21,NR,RWU,1,10,9820910659,29878,28,22,Alive,,,,,,
26-Aug-21,NR,RWU,1,28,9820910659,29878,41.2,28.82,Alive,,,,,,
25-Oct-21,NR,RWU ,1,15,9820910659,29878,58.34,36.35,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29878,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,NR,RWU,1,24,9820910659,29877,22,15,Alive,,,,,,
26-Aug-21,NR,RWU,1,24,9820910659,29877,29.16,26.14,Alive,,,,,,
25-Oct-21,NR,RWU ,1,49,9820910659,29877,46.27,30.23,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29877,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,FI,RWU,1,14,9820910659,29876,17.21,14.84,Alive,,,,,,
26-Aug-21,FI,RWU,1,12,9820910659,29876,25.65,19.12,Alive,,,,,,
25-Oct-21,FI,RWU ,1,49,9820910659,29876,34.43,28.66,Alive,,,,,,
24-May-22,FI,RWU,1,13,9820910659,29876,30.66,24.59,Alive,,,,,,
19-Oct-22,FI,RWU,1,31,9820910659,29876,52.1,39.51,alive,"DERIVED FROM FI-1_alive photo, no morts photo provided(Mary S recorded 33 alive, 14 dead, 8 missing) THIN SHELLS",,,,,
19-Jul-21,NR,RWU,1,48,9820910659,29875,23.78,19.21,Alive,,,,,,
26-Aug-21,NR,RWU,1,3,9820910659,29875,38.79,26.26,Alive,,,,,,
25-Oct-21,NR,RWU ,1,33,9820910659,29875,48.85,28.92,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29875,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,FI,RWU,1,30,9820910659,29874,35.17,31.53,Alive,,,,,,
26-Aug-21,FI,RWU,1,50,9820910659,29874,57.1,42.86,Alive,,,,,,
25-Oct-21,FI,RWU ,1,6,9820910659,29874,67.3,46.1,Alive,,,,,,
24-May-22,FI,RWU,1,2,9820910659,29874,53.6,44.85,Alive,,,,,,
19-Oct-22,FI,RWU,1,3,9820910659,29874,71.79,60.49,alive,"DERIVED FROM FI-1_alive photo, no morts photo provided(Mary S recorded 33 alive, 14 dead, 8 missing) THIN SHELLS",,,,,
19-Jul-21,NR,RWU,1,30,9820910659,29873,22,17,Alive,,,,,,
26-Aug-21,NR,RWU,1,27,9820910659,29873,32.41,25.06,Alive,,,,,,
25-Oct-21,NR,RWU ,1,40,9820910659,29873,50.13,28.27,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29873,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,FI,RWU,1,29,9820910659,29872,28.48,22.38,Alive,,,,,,
26-Aug-21,FI,RWU,1,6,9820910659,29872,41.8,36.54,Alive,,,,,,
25-Oct-21,FI,RWU ,1,35,9820910659,29872,61.28,45.78,Alive,,,,,,
24-May-22,FI,RWU,1,49,9820910659,29872,58.65,43.33,Alive,,,,,,
19-Oct-22,FI,RWU,1,35,9820910659,29872,dead,dead,dead,,,,10/19/2022,,
19-Jul-21,FI,RWU,1,35,9820910659,29871,26.71,19.23,Alive,,,,,,
26-Aug-21,FI,RWU,1,51,9820910659,29871,33.5,23.28,Alive,,,,,,
25-Oct-21,FI,RWU ,1,26,9820910659,29871,42.15,32.42,Alive,,,,,,
24-May-22,FI,RWU,1,50,9820910659,29871,39,27.64,Alive,,,,,,
19-Oct-22,FI,RWU,1,26,9820910659,29871,51.32,34.97,alive,"DERIVED FROM FI-1_alive photo, no morts photo provided(Mary S recorded 33 alive, 14 dead, 8 missing) THIN SHELLS",,,,,
19-Jul-21,FI,RWU,1,34,9820910659,29870,35.89,28.53,Alive,,,,,,
26-Aug-21,FI,RWU,1,53,9820910659,29870,53.11,41.82,Alive,,,,,,
25-Oct-21,FI,RWU ,1,28,9820910659,29870,72.26,51.97,Alive,,,,,,
24-May-22,FI,RWU,1,25,9820910659,29870,62.3,49.5,Alive,,,,,,
19-Oct-22,FI,RWU,1,24,9820910659,29870,88.45,61.94,alive,"DERIVED FROM FI-1_alive photo, no morts photo provided(Mary S recorded 33 alive, 14 dead, 8 missing) THIN SHELLS",,,,,
19-Jul-21,FI,RWU,1,7,9820910659,29869,33.79,28.05,Alive,,,,,,
26-Aug-21,FI,RWU,1,26,9820910659,29869,55.32,41.35,Alive,,,,,,
25-Oct-21,FI,RWU ,1,11,9820910659,29869,71.78,56.07,Alive,,,,,,
24-May-22,FI,RWU,1,41,9820910659,29869,67.9,48.95,Alive,,,,,,
19-Oct-22,FI,RWU,1,13,9820910659,29869,98.43,67.57,alive,"DERIVED FROM FI-1_alive photo, no morts photo provided(Mary S recorded 33 alive, 14 dead, 8 missing) THIN SHELLS",,,,,
19-Jul-21,NR,RWU,1,21,9820910659,29868,28,20,Alive,,,,,,
26-Aug-21,NR,RWU,1,31,9820910659,29868,33.53,25.63,Alive,,,,,,
25-Oct-21,NR,RWU ,1,13,9820910659,29868,49.1,34.15,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29868,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,FI,RWU,1,18,9820910659,29867,35.48,34.8,Alive,,,,,,
26-Aug-21,FI,RWU,1,38,9820910659,29867,53.21,45.27,Alive,,,,,,
25-Oct-21,FI,RWU ,1,12,9820910659,29867,70.07,54.37,Alive,,,,,,
24-May-22,FI,RWU,1,46,9820910659,29867,64.28,51.89,Alive,QA/QC org marked 29861 now 29867 ,,,,,
19-Oct-22,FI,RWU,1,38,9820910659,29867,dead,dead,dead,,,,10/19/2022,,
19-Jul-21,NR,RWU,1,6,9820910659,29866,24,19,Alive,,,,,,
26-Aug-21,NR,RWU,1,10,9820910659,29866,34.56,28.83,Alive,,,,,,
25-Oct-21,NR,RWU ,1,9,9820910659,29866,50.15,38.1,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29866,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,FI,RWU,1,21,9820910659,29865,39.04,36.07,Alive,,,,,,
26-Aug-21,FI,RWU,1,40,9820910659,29865,55.55,43.35,Alive,,,,,,
25-Oct-21,FI,RWU ,1,8,9820910659,29865,71.11,58.21,Alive,,,,,,
24-May-22,FI,RWU,1,8,9820910659,29865,61.47,46.84,Alive,,,,,,
19-Oct-22,FI,RWU,1,23,9820910659,29865,91.65,61.58,alive,"DERIVED FROM FI-1_alive photo, no morts photo provided(Mary S recorded 33 alive, 14 dead, 8 missing) THIN SHELLS",,,,,
19-Jul-21,NR,RWU,1,25,9820910659,29864,24,20,Alive,,,,,,
26-Aug-21,NR,RWU,1,48,9820910659,29864,33.89,24.14,Alive,,,,,,
25-Oct-21,NR,RWU ,1,53,9820910659,29864,43.05,36.65,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29864,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,NR,RWU,1,17,9820910659,29862,20,17,Alive,,,,,,
26-Aug-21,NR,RWU,1,32,9820910659,29862,27.29,23.99,Alive,,,,,,
25-Oct-21,NR,RWU ,1,30,9820910659,29862,38.69,31.27,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29862,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,NR,RWU,1,27,9820910659,29861,21,18,Alive,,,,,,
26-Aug-21,NR,RWU,1,43,9820910659,29861,35.66,22.96,Alive,,,,,,
25-Oct-21,NR,RWU ,1,24,9820910659,29861,51.02,34.6,Alive,,,,,,
24-May-22,NR,RWU,1,NA,9820910659,29861,NA,NA,Missing ,No record of them from 5/24; could have been lost in the storm? ,,,,,
19-Jul-21,FI,RWU,1,19,9820910659,29860,32.17,27.94,Alive,,,,,,
26-Aug-21,FI,RWU,1,29,9820910659,29860,51.83,40.67,Alive,,,,,,
25-Oct-21,FI,RWU ,1,53,9820910659,29860,71.16,53.49,Alive,,,,,,
24-May-22,FI,RWU,1,32,9820910659,29860,58.55,45.1,Alive,,,,,,
